0356 - Korogashi Puzzle Katamari Damacy (Japan);90
0396 - Brain Age - Train Your Brain in Minutes a Day! (USA);90
0823 - Hotel Dusk - Room 215 (USA);90
0831 - Wish Room - Tenshi no Kioku (Japan);90
0841 - Delbo (USA);90
0863 - Meteos - Disney Magic (USA);90
0918 - Tokimeki Memorial Girl's Side - 1st Love (Japan);90
1000 - Hotel Dusk - Room 215 (Europe) (En,Fr,De,Es,It);90
1007 - Delbo (Europe, Australia);90
100_Classic_Books_USA_NDS-BAHAMUT;90
1034 - Meteos - Disney Magic (Japan);90
1121 - Meteos - Disney Magic (Europe) (En,Fr,De,Es,It);90
1129 - Planet Puzzle League (USA);90
1182 - Puzzle League DS (Europe) (En,Fr,De,Es,It);90
1343 - Brain Age 2 - More Training in Minutes a Day! (USA) (En,Fr,Es);90
13_Sai_no_Hello_Work_DS_JPN_NDS-iND;90
1873 - Left Brain, Right Brain - Use Both Hands, Train Both Sides (USA);90
1880 - Hello Kitty no Oshare Party - Sanrio Character Zukan DS (Japan);90
2032 - Tokimeki Memorial Girl's Side - 2nd Season (Japan);90
2163 - Ninja Gaiden - Dragon Sword (Japan);90
2189 - Ninja Gaiden - Dragon Sword (USA);90
2331 - Shokugyou Taiken Adventure - 13-sai no Hello Work DS (Japan);90
2380 - Guitar Hero - On Tour (USA) (En,Fr);90
2387 - Ninja Gaiden - Dragon Sword (Europe) (En,Fr,De,Es,It);90
2420 - Nanashi no Geemu (Japan);90
2476 - Guitar Hero - On Tour (Europe) (Fr,De,Es,It);90
2500 - Guitar Hero - On Tour (United Kingdom);90
2517 - Rhythm Tengoku Gold (Japan);90
2550 - Guitar Hero - On Tour (Korea) [b];90
2581 - Sigma Harmonics (Japan);90
2582 - Ninja Gaiden - Dragon Sword (Korea) [b];90
2702 - My Secret World by Imagine (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da);90
2754 - Guitar Hero - On Tour (Japan);90
2897 - Guitar Hero - On Tour - Decades (Europe) (Fr,De,Es,It);90
2917 - My Dress-Up (Europe) (En,Fr,De,Es,It,Sv,No,Da,Fi);90
2919 - My Secret Diary (Europe) (En,Fr,De,Es,It,Sv,No,Da,Fi);90
2939 - Guitar Hero - On Tour - Decades (United Kingdom);90
2939 - Guitar Hero - On Tour - Decades (United Kingdom);90
2944 - Guitar Hero - On Tour - Decades (USA) (En,Fr);90
3363 - My Secret World by Imagine (USA) (En,Fr,Es,Pt);90
3380 - Hotel Duskui Bimil (Korea) [b];90
3564 - Guitar Hero - On Tour - Decades (Korea) [b];90
3588 - Rhythm Heaven (USA);90
3601 - Akai Ito Destiny DS (Japan);90
3699 - Rhythm Paradise (Europe) (En,Fr,De);90
3724 - Tokimeki Memorial Girl's Side - 1st Love Plus (Japan) [b];90
3822 - Rhythm Paradise (Europe) (En,Es,It);90
3921 - Guitar Hero - On Tour - Modern Hits (Europe) (Fr,De,Es,It);90
4039 - Gokujou!! Mecha Mote Iinchou - Girls 'Mote Kawa' Box (Japan);90
4125 - My Dress-Up (USA);90
4133 - Nanashi no Geemu Me (Japan);90
4136 - Go! Go! Cosmo Cops! (Europe) (En,Fr,De,Es,It);90
4152 - Love Plus (Japan);90
4591 - Style Savvy (USA);90
4654 - Last Window - Mayonaka no Yakusoku (Japan);90
4876 - Again - Interactive Crime Novel (USA);90
4930 - Guitar Hero - On Tour - Modern Hits (United Kingdom);90
5014 - 100 Classic Books (USA);90
5035 - Tokimeki Memorial Girl's Side - 3rd Story (Japan);90
5171 - Brain Age - Train Your Brain in Minutes a Day! (USA) (Rev 1);90
5212 - Last Window - The Secret of Cape West (Europe) (En,Fr,De,Es,It);90
6390 - My Secret Diary (USA);90
6470 - Winnie the Pooh - Kuma no Puu-san - 100 Acre no Mori no Cooking Book (Japan);90
842 - Imagine - Fashion Designer - New York (USA) (En,Fr,Es,Pt);90
907 - Guitar Hero - On Tour - Modern Hits (USA) (En,Fr);90
Again_CRACKED_USA_NDS-SUXXORS;90
Again_USA_NDS-BAHAMUT;90
Akai_Ito_Destiny_DS_JPN_NDS-iND;90
Brain_Age_2_Demo_USA_NDS-SirVG;90
Brain_Age_2_USA_NDS-MR0;90
Brain_Age_Train_Your_Brain_in_Minutes_a_Day_v1.01_USA_NDS-PLAYTHIS;90
Brain_Age_USA_NDS-MODE7;90
Brain_Age_USA_NDS-TRM;90
Go_Go_Cosmo_Cops_EUR_MULTi5_NDS-BAHAMUT;90
Go_Go_Cosmo_Cops_EUR_MULTi5_PROPER_NDS-iND;90
Gokujou_Mechamote_Iinchou_Girls_Motekawa_Box_JPN_NDS-Caravan;90
Guitar.Hero.On.Tour.KOR.NDS-CoolPoint;90
Guitar_Hero_-_On_Tour_Decades_DEMO_USA_DIRFIX_NDS-jd;90
Guitar_Hero_-_On_Tour_Decades_USA_NDS-jd;90
GUITAR_HERO_DS_EUR_UK_NDS-DiPLODOCUS;90
Guitar_Hero_On_Tour_Decades_DEMO_EUR_NDS-jd;90
Guitar_Hero_On_Tour_Decades_DEMO_EUR_NDS-jd;90
Guitar_Hero_On_Tour_Decades_EUR_MULTi4_CLEAN_NDS-COCKSLAP;90
Guitar_Hero_On_Tour_Decades_EUR_MULTi4_NDS-EXiMiUS;90
Guitar_Hero_On_Tour_Decades_EUR_READNFO_NDS-DiPLODOCUS;90
Guitar_Hero_On_Tour_Decades_KOR_NDS-NEREiD;90
Guitar_Hero_On_Tour_Decades_USA_NDS-GUARDiAN;90
Guitar_Hero_On_Tour_DEMO_EUR_NDS-iND;90
Guitar_Hero_On_Tour_DEMO_READNFO_EUR_NDS-iND;90
Guitar_Hero_On_Tour_DEMO_USA_NDS-iND;90
Guitar_Hero_On_Tour_Demo_Version_USA_iNTERNAL_NDS-jd;90
Guitar_Hero_On_Tour_EUR_MULTi4_NDS-DSRP;90
Guitar_Hero_On_Tour_EUR_MULTi4_NDS-iND;90
Guitar_Hero_On_Tour_JPN_NDS-iND;90
